date,group name,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,rank,total titles
2025-07-23,Jesse Pony,313,41,1,1,0,2,24.73269671327497,153,2
2025-07-23,Stella Luxx,295,60,0,3,0,3,24.43620466591296,154,3
2025-07-23,Maddy Keys,4,57,0,3,0,1,24.18415619598121,155,1
2025-07-23,Alice Drake,278,96,1,1,0,2,23.891827802246112,156,2
2025-07-23,Sandy Cheeks,417,110,0,3,0,3,23.828224865887464,157,3
2025-07-23,Sveltelana,239,103,1,1,0,0,23.74967238776898,158,2
2025-07-23,Anissa Kate,327,202,0,3,1,3,23.38968849437758,159,4
2025-07-23,Daruma Rai,329,169,1,1,0,2,22.87488518680449,160,2
2025-07-23,Whitney OC,391,200,1,1,0,2,22.484064643254108,161,2
2025-07-23,Molly Quinn,331,197,1,1,0,2,22.4669632847951,162,2
2025-07-23,KENDRA SUNDERLAND,276,224,0,3,0,3,22.015708708647892,163,3
2025-07-23,LIZ RAINBOW,302,229,0,3,0,3,21.968946530109946,164,4
2025-07-23,Eva Berger,239,250,1,1,0,2,21.59740298806181,165,2
2025-07-23,Jenna Sativa,98,250,1,1,0,2,21.4539937122278,166,2
2025-07-23,Barbie Feels,231,347,1,1,1,3,21.169061313522523,167,3
2025-07-23,Kayden Kross,169,301,0,3,0,2,20.779501183573643,168,6
2025-07-23,Veronica Sanchez,138,333,1,1,0,2,20.279450254763184,169,2
2025-07-23,Lottie Magne,177,337,1,1,0,1,20.260551496473106,170,2
2025-07-23,Cheerleader Kait,133,6,1,0,0,1,20.06206613716588,171,1
2025-07-23,ChihuahuaSU,41,1,1,0,0,1,20.041700569568754,172,2
2025-07-23,Cassie Del Isla,286,386,0,3,0,3,19.65399085306651,173,3
2025-07-23,Carter Cruise,63,386,1,1,0,2,19.42718043809499,174,2
2025-07-23,Alice Nice,140,394,1,1,0,2,19.388365834452177,175,2
2025-07-23,Jayde Symz,52,53,1,0,0,1,19.291541528722064,176,1
2025-07-23,India Summer,53,63,1,0,0,1,19.146145731450893,177,1
2025-07-23,Candy Alexa,80,69,1,0,0,1,19.08575935154222,178,1
2025-07-23,Lola Bredly,349,106,1,0,0,1,18.81762809936062,179,1
2025-07-23,Lindsey Lakes,315,104,0,2,0,2,18.812329716097196,180,2
2025-07-23,Vixi Rafi,445,126,0,2,0,2,18.622442688707622,181,2
2025-07-23,Liz Jordan,160,117,1,0,0,1,18.464344471752085,182,1
2025-07-23,Angelika Grays,123,120,1,0,0,1,18.382788385133793,183,1
2025-07-23,Lilly Bella,214,132,1,0,0,1,18.29964784663459,184,1
2025-07-23,Isabella Rose,122,132,1,0,0,1,18.206075836870554,185,1
2025-07-23,Victoria Brennan,94,132,1,0,0,1,18.17759739911628,186,1
2025-07-23,Gypsy Rose,108,146,1,0,0,1,17.986858579926064,187,1
2025-07-23,Mary Rock,171,175,0,2,0,2,17.626337700305097,188,2
2025-07-23,Leanne Lace,145,180,0,2,0,2,17.52668699450922,189,2
2025-07-23,Clemence Audiard,230,188,0,2,0,2,17.49600908736763,190,2
2025-07-23,Casey Nohrman,102,197,1,0,0,1,17.234050347447663,191,1
2025-07-23,Mila Pie,147,204,1,0,0,1,17.177330246233353,192,1
2025-07-23,Thea Lun,106,224,1,0,0,1,16.842803907996956,193,1
2025-07-23,🗂INDEX,3,217,1,0,0,0,16.840532959577416,194,1
2025-07-23,Reagan Foxx,99,228,0,2,0,2,16.77711914482486,195,3
2025-07-23,Keisha Grey,2,228,1,0,0,0,16.678461699747558,196,1
2025-07-23,Kimberly Kane,116,244,1,0,0,1,16.560149009955836,197,1
2025-07-23,Bobbi Starr,99,252,1,0,0,1,16.425728222423686,198,1
2025-07-23,Dee Vine,176,260,1,0,0,0,16.38691361878088,199,1
2025-07-23,Candee Licious,171,278,0,2,0,2,16.118284991666734,200,2
2025-07-23,Samantha Bentley,32,273,1,0,0,1,16.05011633212494,201,1
2025-07-23,Alexa Grace,182,284,1,0,0,1,16.041625218755623,202,1
2025-07-23,Conny Carter,30,287,1,0,0,1,15.843104119932285,203,1
2025-07-23,Anny Swix,105,306,1,0,0,1,15.641201169396968,204,1
2025-07-23,Ovidie,15,307,1,0,0,1,15.535022045324853,205,1
2025-07-23,Alexis Deen,315,333,1,0,0,1,15.459474664852689,206,1
2025-07-23,Layla London,443,353,1,0,0,1,15.296836040204573,207,1
2025-07-23,Paulina Soul,134,335,1,0,0,1,15.24609932964581,208,1
2025-07-23,Jade Nile,127,336,1,0,0,1,15.224338431773859,209,1
2025-07-23,Ally Breelsen,145,342,1,0,0,1,15.154798268301313,210,1
2025-07-23,Dolly Diore,141,342,1,0,0,1,15.150729920050702,211,1
2025-07-23,Krystal Sparks,129,342,0,2,0,2,15.138524875298872,212,2
2025-07-23,Gracie Gates,103,342,1,0,0,1,15.112080611669905,213,1
2025-07-23,Aften Opal,102,342,1,0,0,1,15.111063524607252,214,1
2025-07-23,Alecia Fox,179,349,1,0,0,1,15.086890209397826,215,1
2025-07-23,Ambra Dolce,75,342,1,0,0,1,15.083602173915633,216,1
2025-07-23,Evelyn Claire,172,349,1,0,0,1,15.079770599959257,217,1
2025-07-23,Bree Daniels,71,342,1,0,0,1,15.079533825665022,218,1
2025-07-23,Andrea Lapiedra,38,342,1,0,0,1,15.045969952597488,219,1
2025-07-23,Naomi Wildman,40,69,0,1,1,0,15.045075869036117,220,1
2025-07-23,Loli Pop,272,41,0,1,0,1,14.690996143706212,221,1
2025-07-23,Amy Douxxx,151,40,0,1,0,1,14.582569897558635,222,1
2025-07-23,Melody Mynx,149,56,0,1,0,1,14.346275108499214,223,1
2025-07-23,Zlata Shine,205,130,0,1,1,2,14.31977663993748,224,2
2025-07-23,Lisa Belys,100,396,1,0,0,1,14.318399775079312,225,1
2025-07-23,Eva Ray,900,120,0,1,0,1,14.173065032814833,226,1
2025-07-23,Emily Willis,100,409,1,0,0,2,14.128063025445345,227,3
2025-07-23,Sara Rich,33,406,1,0,0,1,14.103842057547768,228,1
2025-07-23,Lily Bella,91,69,0,1,0,1,14.096947309231398,229,1
2025-07-23,Violet Pretty,57,69,0,1,0,1,14.062366349101211,230,1
2025-07-23,Hot Pearl,81,71,0,1,0,1,14.05749386173811,231,1
2025-07-23,Nikky Dream,75,71,0,1,0,1,14.051391339362194,232,1
2025-07-23,Lucy Foxx,173,99,0,1,0,1,13.741109795367443,233,1
2025-07-23,Beverly Hillson,52,99,0,1,0,1,13.618042260786485,234,1
2025-07-23,zoebytheriver,43,105,0,1,0,1,13.521040746622317,235,1
2025-07-23,Alrox,266,126,0,1,0,1,13.440384104492814,236,2
2025-07-23,Jade Valentine,78,117,0,1,0,1,13.380943332614573,237,1
2025-07-23,River Lynn,109,120,0,1,0,1,13.368549166256654,238,1
2025-07-23,Ivy Ireland,208,138,0,1,0,1,13.20569759365838,239,1
2025-07-23,Rose Carter,54,138,0,1,0,1,13.049066186009885,240,1
2025-07-23,Ivi Rein,126,151,0,1,0,1,12.931959704886903,241,1
2025-07-23,Sydney Paige,118,151,0,1,0,1,12.923823008385682,242,1
2025-07-23,Kristina Grace,270,169,0,1,0,1,12.814877050107992,243,1
2025-07-23,Serena Sterling,263,169,0,1,0,1,12.807757440669423,244,1
2025-07-23,Kaira Love,219,172,0,1,0,1,12.719081744612566,245,1
2025-07-23,Talia Mint,69,169,0,1,0,1,12.610442550514827,246,1
2025-07-23,Alice Flore,237,182,0,1,0,1,12.59097642740649,247,1
2025-07-23,Fiona Frost,135,250,0,1,1,2,12.491625933545944,248,2
2025-07-23,Stella Sedona,52,205,0,1,0,1,12.066065686847978,249,1
2025-07-23,Sandrillon,102,212,0,1,0,1,12.01443102094693,250,1
2025-07-23,Siri Dahl,47,415,0,1,3,4,11.986309680524466,251,7
